Link, Anchor Text
http://www.lifepointhealth.net/making-communities-healthier/communities/havasu-regional-medical-center?loc=dc20fc3a-9bf3-4df6-9d11-2272bcce77c7, Location Details
tel:928.855.8185, Phone: 928.855.8185
http://www.lifepointhealth.net/making-communities-healthier/communities/valley-view-medical-center?loc=1e435722-f6cd-4254-8ab0-9c13f4dc6cc3, Location Details
tel:928.788.CARE, Phone: 928.788.CARE
http://www.lifepointhealth.net/making-communities-healthier/communities/national-park-medical-center?loc=d275b6d2-4096-4dfc-9463-141f27068844, Location Details
tel:501.321.1000, Phone: 501.321.1000
http://www.lifepointhealth.net/making-communities-healthier/communities/saint-mary-s-regional-health-system?loc=823ffd8f-f9fc-43b7-af51-46cfc13ce00c, Location Details
tel:479.968.2841, Phone: 479.968.2841
http://www.lifepointhealth.net/making-communities-healthier/communities/saline-memorial-hospital?loc=1c24913b-8a84-4bc9-b0e9-2cc580177bff, Location Details
tel:501.776.6000, Phone: 501.776.6000
http://www.lifepointhealth.net/making-communities-healthier/communities/colorado-plains-medical-center?loc=ea43bc79-61cd-41f8-ad36-44cdef122749, Location Details
tel:970.867.3391, Phone: 970.867.3391
http://www.lifepointhealth.net/making-communities-healthier/communities/st.-francis-hospital?loc=6e09fcc4-3bf8-456c-a736-7b59da0f4303, Location Details
tel:706.596.4000, Phone: 706.596.4000
http://www.lifepointhealth.net/making-communities-healthier/communities/st.-joseph-regional-medical-center?loc=4fe85975-2af1-476a-ac04-84162ce1d4c2, Location Details
tel:208.743.2511, Phone: 208.743.2511
http://www.lifepointhealth.net/making-communities-healthier/communities/clark-memorial-hospital?loc=5e12d8ce-386c-4d0b-8af7-bcced7f69fda, Location Details
tel:812.282.6631, Phone: 812.282.6631
http://www.lifepointhealth.net/making-communities-healthier/communities/scott-memorial-hospital?loc=bfb01b6f-f5a2-41e6-9ee8-a75e49b7262c, Location Details
tel:812.752.3456, Phone: 812.752.3456
http://www.lifepointhealth.net/making-communities-healthier/communities/ottumwa-regional-health-center?loc=4862ca6c-051d-4fe7-bd7b-6e7c8cee297c, Location Details
tel:641.684.2300, Phone: 641.684.2300
http://www.lifepointhealth.net/making-communities-healthier/communities/western-plains-medical-complex?loc=cb60f16a-a5e2-4e44-ac12-04cae56470a9, Location Details
tel:620.225.8401, Phone: 620.225.8401
http://www.lifepointhealth.net/making-communities-healthier/communities/bluegrass-community-hospital?loc=259a6c47-b4d8-4684-843d-c45735d37e3a, Location Details
tel:859.873.3111, Phone: 859.873.3111
http://www.lifepointhealth.net/making-communities-healthier/communities/bourbon-community-hospital?loc=5c233aca-3e74-4099-91ec-a12acfdcaebd, Location Details
tel:859.987.3600, Phone: 859.987.3600
http://www.lifepointhealth.net/making-communities-healthier/communities/clark-regional-medical-center?loc=d5ee04a3-0a84-41d3-97e4-c5c3aab20519, Location Details
tel:859.745.3500, Phone: 859.745.3500
http://www.lifepointhealth.net/making-communities-healthier/communities/fleming-county-hospital?loc=e1db66e0-8c26-447c-bb4e-b696450dd1ae, Location Details
tel:606.849.5000, Phone: 606.849.5000
http://www.lifepointhealth.net/making-communities-healthier/communities/georgetown-community-hospital?loc=eee916fc-05ba-4836-9524-d5d6cb29bc71, Location Details
tel:502.868.1100, Phone: 502.868.1100
http://www.lifepointhealth.net/making-communities-healthier/communities/jackson-purchase-medical-center?loc=65c47a5f-2b40-4bcb-988b-74b2fd0a4299, Location Details
tel:270.251.4100, Phone: 270.251.4100
http://www.lifepointhealth.net/making-communities-healthier/communities/lake-cumberland-regional-hospital?loc=c330182e-a3bd-4047-bb37-4ab1dd52af5f, Location Details
tel:606.679.7441, Phone: 606.679.7441
http://www.lifepointhealth.net/making-communities-healthier/communities/logan-memorial-hospital?loc=c3c8a912-eea4-4bd0-80ed-c5566142ff13, Location Details
tel:270.726.4011, Phone: 270.726.4011
http://www.lifepointhealth.net/making-communities-healthier/communities/meadowview-regional-medical-center?loc=812812bb-07b5-4e49-9700-d232c350254d, Location Details
tel:606.759.5311, Phone: 606.759.5311
http://www.lifepointhealth.net/making-communities-healthier/communities/spring-view-hospital?loc=b4416eae-e0ad-46c3-a71d-c5b4bbbb2271, Location Details
tel:270.692.3161, Phone: 270.692.3161
http://www.lifepointhealth.net/making-communities-healthier/communities/up-health-system-bell?loc=cdf64e04-1a2d-4f12-9166-d80b0c9f47ac, Location Details
tel:906.486.4431, Phone: 906.486.4431
http://www.lifepointhealth.net/making-communities-healthier/communities/up-health-system-marquette?loc=84924c87-68a6-47ea-9574-00ebaf5cceb7, Location Details
tel:906.228.9440, Phone: 906.228.9440
http://www.lifepointhealth.net/making-communities-healthier/communities/up-health-system-portage?loc=28fa3a36-cd9c-4a2c-b2c8-6257e4e29382, Location Details
tel:906.483.1000, Phone: 906.483.1000
http://www.lifepointhealth.net/making-communities-healthier/communities/bolivar-medical-center?loc=c1c283fd-ba54-4ef9-b71e-ebabeda3bea7, Location Details
tel:662.846.0061, Phone: 662.846.0061
http://www.lifepointhealth.net/making-communities-healthier/communities/community-medical-center?loc=28bf5f7b-93fa-4567-a50d-55f13c19c54a, Location Details
tel:406.728.4100, Phone: 406.728.4100
http://www.lifepointhealth.net/making-communities-healthier/communities/northeastern-nevada-regional-hospital?loc=56cffa8b-f16b-4b44-865a-28be146aee2c, Location Details
tel:775.738.5151, Phone: 775.738.5151
http://www.lifepointhealth.net/making-communities-healthier/communities/los-alamos-medical-center?loc=2f5caa06-1081-4d80-bb3f-9ba934d25b98, Location Details
tel:505.662.4201, Phone: 505.662.4201
http://www.lifepointhealth.net/making-communities-healthier/communities/memorial-medical-center?loc=ad81ce2e-df14-4f62-b71e-32bc08cf9440, Location Details
tel:575.522.8641, Phone: 575.522.8641
http://www.lifepointhealth.net/making-communities-healthier/communities/central-carolina-hospital?loc=5c671690-109e-40d1-9515-5cbc54225da0, Location Details
tel:919.774.2100, Phone: 919.774.2100
http://www.lifepointhealth.net/making-communities-healthier/communities/frye-regional-medical-center?loc=51f2be34-05c2-484e-bc5d-3f22c4546e3d, Location Details
tel:828.315.5000, Phone: 828.315.5000
http://www.lifepointhealth.net/making-communities-healthier/communities/harris-regional-hospital?loc=cd4f1442-e7e8-4217-a3fe-869fd2dfcce1, Location Details
tel:828.586.7000, Phone: 828.586.7000
http://www.lifepointhealth.net/making-communities-healthier/communities/haywood-regional-medical-center?loc=d3e017a9-e27b-4a36-858f-7e259cb3ea4b, Location Details
tel:828.456.7311, Phone: 828.456.7311
http://www.lifepointhealth.net/making-communities-healthier/communities/maria-parham-health?loc=118ae47b-5663-4f30-b77c-7cba73407ca5, Location Details
tel:252.438.4143, Phone: 252.438.4143
http://www.lifepointhealth.net/making-communities-healthier/communities/person-memorial-hospital?loc=cfa76e49-ddba-4bc9-bf21-07bbd2319327, Location Details
tel:336.599.2121, Phone: 336.599.2121
http://www.lifepointhealth.net/making-communities-healthier/communities/rutherford-regional-health-system?loc=32ef564c-1143-43a1-89a9-815d2cd9b858, Location Details
tel:828.286.5000, Phone: 828.286.5000
http://www.lifepointhealth.net/making-communities-healthier/communities/swain-community-hospital?loc=ea87a3f1-e020-4337-9049-be8a5537987f, Location Details
tel:828.488.2155, Phone: 828.488.2155
http://www.lifepointhealth.net/making-communities-healthier/communities/wilson-medical-center?loc=3cf2e212-d190-4dde-aaac-84ca3fbec3a6, Location Details
tel:252.399.8040, Phone: 252.399.8040
http://www.lifepointhealth.net/making-communities-healthier/communities/cmh-regional-health-system?loc=e9eda1f7-9472-43ef-8de3-ea342a905586, Location Details
tel:937.382.6611, Phone: 937.382.6611
http://www.lifepointhealth.net/making-communities-healthier/communities/southwestern-medical-center?loc=9f25af5e-7023-4fbd-a995-1d7d45d52020, Location Details
tel:580.531.4700, Phone: 580.531.4700
http://www.lifepointhealth.net/making-communities-healthier/communities/southwestern-medical-center?loc=4b426d03-d35c-4605-a89e-5dc9f59c0447, Location Details
http://www.lifepointhealth.net/making-communities-healthier/communities/willamette-valley-medical-center?loc=08632e6f-1e69-4f1d-b770-c871e68b3cbf, Location Details
tel:503.472.6131, Phone: 503.472.6131
http://www.lifepointhealth.net/making-communities-healthier/communities/conemaugh-memorial-medical-center?loc=83fcfe20-d61e-4bbe-8148-39f755c66747, Location Details
tel:814.534.9000, Phone: 814.534.9000
http://www.lifepointhealth.net/making-communities-healthier/communities/conemaugh-meyersdale-medical-center?loc=3f1a7247-8595-441f-82b9-21f086c6d0b2, Location Details
tel:814.634.5911, Phone: 814.634.5911
http://www.lifepointhealth.net/making-communities-healthier/communities/conemaugh-miners-medical-center?loc=b7342262-dcaf-4d29-9304-d1efbcf117f5, Location Details
tel:814.247.3100, Phone: 814.247.3100
http://www.lifepointhealth.net/making-communities-healthier/communities/nason-hospital?loc=041579f0-0359-4795-b050-24cf620f026c, Location Details
tel:877.224.2141, Phone: 877.224.2141
http://www.lifepointhealth.net/making-communities-healthier/communities/carolina-pines-regional-medical-center?loc=eaa90114-7bc8-4b69-9bfa-5904060dac30, Location Details
tel:843.339.2100, Phone: 843.339.2100
http://www.lifepointhealth.net/making-communities-healthier/communities/kershaw-health?loc=f3cf30c9-8343-4b5e-ab68-4b2b7bc8e3e4, Location Details
tel:803.432.4311, Phone: 803.432.4311
http://www.lifepointhealth.net/making-communities-healthier/communities/providence-hospital?loc=16d16653-208e-489f-8b09-9ffdef68bdfc, Location Details
tel:803.865.4500, Phone: 803.865.4500
http://www.lifepointhealth.net/making-communities-healthier/communities/providence-hospital?loc=8888d8b9-0422-47c3-8309-d73152a89eb8, Location Details
http://www.lifepointhealth.net/making-communities-healthier/communities/livingston-regional-hospital?loc=7123754e-17d5-4a32-aed8-d794d8e3366b, Location Details
tel:931.823.5611, Phone: 931.823.5611
http://www.lifepointhealth.net/making-communities-healthier/communities/riverview-regional-medical-center?loc=64a10651-9906-42e0-aa20-9a34054e4f9c, Location Details
tel:615.735.1560, Phone: 615.735.1560
http://www.lifepointhealth.net/making-communities-healthier/communities/southern-tennessee-regional-health-system-lawrenceburg?loc=42d36753-39f6-4744-95b3-7d448b38a29a, Location Details
tel:931.762.6571, Phone: 931.762.6571
http://www.lifepointhealth.net/making-communities-healthier/communities/southern-tennessee-regional-health-system-pulaski?loc=cbd0677b-b294-47ad-9a15-d2b457985e0f, Location Details
tel:931.363.7531, Phone: 931.363.7531
http://www.lifepointhealth.net/making-communities-healthier/communities/southern-tennessee-regional-health-system-sewanee?loc=99c1cd82-3f44-4905-8cbd-ab416ac25ef5, Location Details
tel:931.598.5691, Phone: 931.598.5691
http://www.lifepointhealth.net/making-communities-healthier/communities/southern-tennessee-regional-health-system-winchester?loc=61d65ff3-47cc-4f65-a097-71b127895cf5, Location Details
tel:931.967.8200, Phone: 931.967.8200
http://www.lifepointhealth.net/making-communities-healthier/communities/starr-regional-medical-center-athens?loc=c3ba58d1-3063-4b97-8b1b-409cb1c9aa21, Location Details
tel:423.745.1411, Phone: 423.745.1411
http://www.lifepointhealth.net/making-communities-healthier/communities/starr-regional-medical-center-etowah?loc=dfaeb43a-fd7e-47da-af68-c3362503245d, Location Details
tel:423.263.3600, Phone: 423.263.3600
http://www.lifepointhealth.net/making-communities-healthier/communities/sumner-regional-medical-center?loc=73e42190-9a7d-4c02-ae9e-3e0b68c473f7, Location Details
tel:615.328.8888, Phone: 615.328.8888
http://www.lifepointhealth.net/making-communities-healthier/communities/trousdale-medical-center?loc=db952573-547b-4062-8b91-ea94e9d91b62, Location Details
tel:615.374.2221, Phone: 615.374.2221
http://www.lifepointhealth.net/making-communities-healthier/communities/ennis-regional-medical-center?loc=066a4cda-9039-4f1e-b7c7-88364ff9ee79, Location Details
tel:972.875.0900, Phone: 972.875.0900
http://www.lifepointhealth.net/making-communities-healthier/communities/palestine-regional-medical-center?loc=3421ed08-d78c-46ef-8413-68643fca857c, Location Details
tel:903.731.1000, Phone: 903.731.1000
http://www.lifepointhealth.net/making-communities-healthier/communities/paris-regional-medical-center?loc=d5a1e4a6-a3fe-4387-821e-250b81f715b4, Location Details
tel:903.785.4521, Phone: 903.785.4521
http://www.lifepointhealth.net/making-communities-healthier/communities/parkview-regional-hospital?loc=325a94dc-e574-4002-8621-ea87d301ea14, Location Details
tel:254.562.5332, Phone: 254.562.5332
http://www.lifepointhealth.net/making-communities-healthier/communities/ashley-regional-medical-center?loc=c4160517-160b-4cca-a863-444c36bd5929, Location Details
tel:435.789.3342, Phone: 435.789.3342
http://www.lifepointhealth.net/making-communities-healthier/communities/castleview-hospital?loc=d9470e28-29df-4bd2-89a3-31f48f1f636e, Location Details
tel:435.637.4800, Phone: 435.637.4800
http://www.lifepointhealth.net/making-communities-healthier/communities/clinch-valley-medical-center?loc=0625b6d0-4939-4389-8198-148600ad147b, Location Details
tel:276.596.6000, Phone: 276.596.6000
http://www.lifepointhealth.net/making-communities-healthier/communities/fauquier-health?loc=4691c0db-11f7-4e36-87b4-cc2eded72a50, Location Details
tel:540.316.5000, Phone: 540.316.5000
http://www.lifepointhealth.net/making-communities-healthier/communities/sovah-health---danville?loc=379086a2-d3f0-455c-a4f2-3d7335f34a3e, Location Details
tel:434.799.2100, Phone: 434.799.2100
http://www.lifepointhealth.net/making-communities-healthier/communities/memorial-hospital-of-martinsville-and-henry-county?loc=51462cd0-caa2-46cf-90a0-c6869981a18c, Location Details
tel:276.666.7200, Phone: 276.666.7200
http://www.lifepointhealth.net/making-communities-healthier/communities/twin-county-regional-healthcare?loc=f9ac2724-7128-4342-9ea9-e81a5e20ca04, Location Details
tel:276.236.8181, Phone: 276.236.8181
http://www.lifepointhealth.net/making-communities-healthier/communities/wythe-county-community-hospital?loc=9518715d-0334-491e-b130-a8a84a11d31e, Location Details
tel:276.228.0200, Phone: 276.228.0200
http://www.lifepointhealth.net/making-communities-healthier/communities/lourdes-health?loc=c92896a6-5992-4f10-a9a0-a9700ea196e9, Location Details
tel:509.547.7704, Phone: 509.547.7704
http://www.lifepointhealth.net/making-communities-healthier/communities/lourdes-health?loc=3ab00626-382d-4a43-8ba5-35913024e3a9, Location Details
http://www.lifepointhealth.net/making-communities-healthier/communities/trios-health?loc=c2aa060f-3ada-45f8-88f8-33b319db39a6, Location Details
tel:509.221.7000, Phone: 509.221.7000
http://www.lifepointhealth.net/making-communities-healthier/communities/trios-health?loc=0c14077c-e1b6-4360-8ece-4c89ca0cc984, Location Details
http://www.lifepointhealth.net/making-communities-healthier/communities/logan-regional-medical-center?loc=55c74534-c21d-4543-9547-59d4e05d3868, Location Details
tel:304.831.1101, Phone: 304.831.1101
http://www.lifepointhealth.net/making-communities-healthier/communities/raleigh-general-hospital?loc=b309c16d-09d1-4593-8b15-db26bb279fa3, Location Details
tel:304.256.4100, Phone: 304.256.4100
http://www.lifepointhealth.net/making-communities-healthier/communities/watertown-regional-medical-center?loc=8412326f-cb29-4d8a-82ac-ba13fc0e74a8, Location Details
tel:920.261.4210, Phone: 920.261.4210
http://www.lifepointhealth.net/making-communities-healthier/communities/sagewest-lander?loc=c730fd0e-dd06-4772-a483-85771f2c115d, Location Details
tel:307.332.4420, Phone: 307.332.4420
http://www.lifepointhealth.net/making-communities-healthier/communities/sagewest-riverton?loc=50e59053-3996-4221-8d0a-a5679a21731f, Location Details
tel:307.856.4161, Phone: 307.856.4161
http://www.lifepointhealth.net/who-we-are, WHO WE ARE
http://www.lifepointhealth.net/who-we-are/our-company, Our Company
http://www.lifepointhealth.net/who-we-are/our-communities, Our Communities
http://www.lifepointhealth.net/who-we-are/our-partnerships, Our Partnerships
http://www.lifepointhealth.net/connections, CONNECTIONS
http://www.lifepointhealth.net/connections/media, Media
http://www.lifepointhealth.net/connections/vendors, Vendors
http://www.lifepointhealth.net/site-map, Site Map
http://www.lifepointhealth.net/legal-terms, Legal Terms
http://www.lifepointhealth.net/privacy-policy, Privacy Policy
