code,npi_number,short_description,long_description
16025,1497708473,,"Dressings and/or debridement of partial-thickness burns, initial or subsequent; medium (eg, whole face or whole extremity, or 5% to 10% total body surface area)"
16030,1497708473,,"Dressings and/or debridement of partial-thickness burns, initial or subsequent; large (eg, more than 1 extremity, or greater than 10% total body surface area)"
17250,1497708473,,"Chemical cauterization of granulation tissue (ie, proud flesh)"
19000,1497708473,,Puncture aspiration of cyst of breast;
19001,1497708473,,Puncture aspiration of cyst of breast; each additional cyst (List separately in addition to code for primary procedure)
19083,1497708473,,"Biopsy, breast, with placement of breast localization device(s) (eg, clip, metallic pellet), when performed, and imaging of the biopsy specimen, when performed, percutaneous; first lesion, including ultrasound guidance"
19084,1497708473,,"Biopsy, breast, with placement of breast localization device(s) (eg, clip, metallic pellet), when performed, and imaging of the biopsy specimen, when performed, percutaneous; each additional lesion, including ultrasound guidance (List separately in addition to code for primary procedure)"
19281,1497708473,,"Placement of breast localization device(s) (eg, clip, metallic pellet, wire/needle, radioactive seeds), percutaneous; first lesion, including mammographic guidance"
19282,1497708473,,"Placement of breast localization device(s) (eg, clip, metallic pellet, wire/needle, radioactive seeds), percutaneous; each additional lesion, including mammographic guidance (List separately in addition to code for primary procedure)"
19285,1497708473,,"Placement of breast localization device(s) (eg, clip, metallic pellet, wire/needle, radioactive seeds), percutaneous; first lesion, including ultrasound guidance"
19286,1497708473,,"Placement of breast localization device(s) (eg, clip, metallic pellet, wire/needle, radioactive seeds), percutaneous; each additional lesion, including ultrasound guidance (List separately in addition to code for primary procedure)"
20206,1497708473,,"Biopsy, muscle, percutaneous needle"
20220,1497708473,,"Biopsy, bone, trocar, or needle; superficial (eg, ilium, sternum, spinous process, ribs)"
20225,1497708473,,"Biopsy, bone, trocar, or needle; deep (eg, vertebral body, femur)"
20501,1497708473,,Injection of sinus tract; diagnostic (sinogram)
20610,1497708473,,"Arthrocentesis, aspiration and/or injection, major joint or bursa (eg, shoulder, hip, knee, subacromial bursa); without ultrasound guidance"
21116,1497708473,,Injection procedure for temporomandibular joint arthrography
23350,1497708473,,Injection procedure for shoulder arthrography or enhanced CT/MRI shoulder arthrography
24220,1497708473,,Injection procedure for elbow arthrography
25246,1497708473,,Injection procedure for wrist arthrography
27093,1497708473,,Injection procedure for hip arthrography; without anesthesia
27369,1497708473,,Injection procedure for contrast knee arthrography or contrast enhanced CT/MRI knee arthrography
27648,1497708473,,Injection procedure for ankle arthrography
29105,1497708473,,Application of long arm splint (shoulder to hand)
29125,1497708473,,Application of short arm splint (forearm to hand); static
29130,1497708473,,Application of finger splint; static
29200,1497708473,,Strapping; thorax
29240,1497708473,,"Strapping; shoulder (eg, Velpeau)"
29260,1497708473,,Strapping; elbow or wrist
29280,1497708473,,Strapping; hand or finger
29505,1497708473,,Application of long leg splint (thigh to ankle or toes)
29515,1497708473,,Application of short leg splint (calf to foot)
29530,1497708473,,Strapping; knee
29540,1497708473,,Strapping; ankle and/or foot
29580,1497708473,,Strapping; Unna boot
32400,1497708473,,"Biopsy, pleura, percutaneous needle"
32405,1497708473,,"Biopsy, lung or mediastinum, percutaneous needle"
32555,1497708473,,"Thoracentesis, needle or catheter, aspiration of the pleural space; with imaging guidance"
33016,1497708473,,"Pericardiocentesis, including imaging guidance, when performed"
33207,1497708473,,Insertion of new or replacement of permanent pacemaker with transvenous electrode(s); ventricular
33208,1497708473,,Insertion of new or replacement of permanent pacemaker with transvenous electrode(s); atrial and ventricular
33210,1497708473,,Insertion or replacement of temporary transvenous single chamber cardiac electrode or pacemaker catheter (separate procedure)
33212,1497708473,,Insertion of pacemaker pulse generator only; with existing single lead
33213,1497708473,,Insertion of pacemaker pulse generator only; with existing dual leads
33214,1497708473,,"Upgrade of implanted pacemaker system, conversion of single chamber system to dual chamber system (includes removal of previously placed pulse generator, testing of existing lead, insertion of new lead, insertion of new pulse generator)"
33215,1497708473,,Repositioning of previously implanted transvenous pacemaker or implantable defibrillator (right atrial or right ventricular) electrode
33216,1497708473,,"Insertion of a single transvenous electrode, permanent pacemaker or implantable defibrillator"
33217,1497708473,,"Insertion of 2 transvenous electrodes, permanent pacemaker or implantable defibrillator"
33218,1497708473,,"Repair of single transvenous electrode, permanent pacemaker or implantable defibrillator"
33220,1497708473,,Repair of 2 transvenous electrodes for permanent pacemaker or implantable defibrillator
33222,1497708473,,Relocation of skin pocket for pacemaker
33223,1497708473,,Relocation of skin pocket for implantable defibrillator
33224,1497708473,,"Insertion of pacing electrode, cardiac venous system, for left ventricular pacing, with attachment to previously placed pacemaker or implantable defibrillator pulse generator (including revision of pocket, removal, insertion, and/or replacement of existing generator)"
33225,1497708473,,"Insertion of pacing electrode, cardiac venous system, for left ventricular pacing, at time of insertion of implantable defibrillator or pacemaker pulse generator (eg, for upgrade to dual chamber system) (List separately in addition to code for primary procedure)"
33226,1497708473,,"Repositioning of previously implanted cardiac venous system (left ventricular) electrode (including removal, insertion and/or replacement of existing generator)"
33227,1497708473,,Removal of permanent pacemaker pulse generator with replacement of pacemaker pulse generator; single lead system
33228,1497708473,,Removal of permanent pacemaker pulse generator with replacement of pacemaker pulse generator; dual lead system
33229,1497708473,,Removal of permanent pacemaker pulse generator with replacement of pacemaker pulse generator; multiple lead system
33233,1497708473,,Removal of permanent pacemaker pulse generator only
33234,1497708473,,"Removal of transvenous pacemaker electrode(s); single lead system, atrial or ventricular"
33241,1497708473,,Removal of implantable defibrillator pulse generator only
33244,1497708473,,Removal of single or dual chamber implantable defibrillator electrode(s); by transvenous extraction
33249,1497708473,,"Insertion or replacement of permanent implantable defibrillator system, with transvenous lead(s), single or dual chamber"
33262,1497708473,,Removal of implantable defibrillator pulse generator with replacement of implantable defibrillator pulse generator; single lead system
33263,1497708473,,Removal of implantable defibrillator pulse generator with replacement of implantable defibrillator pulse generator; dual lead system
33264,1497708473,,Removal of implantable defibrillator pulse generator with replacement of implantable defibrillator pulse generator; multiple lead system
33270,1497708473,,"Insertion or replacement of permanent subcutaneous implantable defibrillator system, with subcutaneous electrode, including defibrillation threshold evaluation, induction of arrhythmia, evaluation of sensing for arrhythmia termination, and programming or reprogramming of sensing or therapeutic parameters, when performed"
33285,1497708473,,"Insertion, subcutaneous cardiac rhythm monitor, including programming"
33286,1497708473,,"Removal, subcutaneous cardiac rhythm monitor"
33967,1497708473,,"Insertion of intra-aortic balloon assist device, percutaneous"
36000,1497708473,,"Introduction of needle or intracatheter, vein"
36005,1497708473,,Injection procedure for extremity venography (including introduction of needle or intracatheter)
36010,1497708473,,"Introduction of catheter, superior or inferior vena cava"
36140,1497708473,,"Introduction of needle or intracatheter, upper or lower extremity artery"
36200,1497708473,,"Introduction of catheter, aorta"
36215,1497708473,,"Selective catheter placement, arterial system; each first order thoracic or brachiocephalic branch, within a vascular family"
36216,1497708473,,"Selective catheter placement, arterial system; initial second order thoracic or brachiocephalic branch, within a vascular family"
36217,1497708473,,"Selective catheter placement, arterial system; initial third order or more selective thoracic or brachiocephalic branch, within a vascular family"
36221,1497708473,,"Non-selective catheter placement, thoracic aorta, with angiography of the extracranial carotid, vertebral, and/or intracranial vessels, unilateral or bilateral, and all associated radiological supervision and interpretation, includes angiography of the cervicocerebral arch, when performed"
36222,1497708473,,"Selective catheter placement, common carotid or innominate artery, unilateral, any approach, with angiography of the ipsilateral extracranial carotid circulation and all associated radiological supervision and interpretation, includes angiography of the cervicocerebral arch, when performed"
36223,1497708473,,"Selective catheter placement, common carotid or innominate artery, unilateral, any approach, with angiography of the ipsilateral intracranial carotid circulation and all associated radiological supervision and interpretation, includes angiography of the extracranial carotid and cervicocerebral arch, when performed"
36224,1497708473,,"Selective catheter placement, internal carotid artery, unilateral, with angiography of the ipsilateral intracranial carotid circulation and all associated radiological supervision and interpretation, includes angiography of the extracranial carotid and cervicocerebral arch, when performed"
36225,1497708473,,"Selective catheter placement, subclavian or innominate artery, unilateral, with angiography of the ipsilateral vertebral circulation and all associated radiological supervision and interpretation, includes angiography of the cervicocerebral arch, when performed"
36226,1497708473,,"Selective catheter placement, vertebral artery, unilateral, with angiography of the ipsilateral vertebral circulation and all associated radiological supervision and interpretation, includes angiography of the cervicocerebral arch, when performed"
36245,1497708473,,"Selective catheter placement, arterial system; each first order abdominal, pelvic, or lower extremity artery branch, within a vascular family"
36246,1497708473,,"Selective catheter placement, arterial system; initial second order abdominal, pelvic, or lower extremity artery branch, within a vascular family"
36247,1497708473,,"Selective catheter placement, arterial system; initial third order or more selective abdominal, pelvic, or lower extremity artery branch, within a vascular family"
36251,1497708473,,"Selective catheter placement (first-order), main renal artery and any accessory renal artery(s) for renal angiography, including arterial puncture and catheter placement(s), fluoroscopy, contrast injection(s), image postprocessing, permanent recording of images, and radiological supervision and interpretation, including pressure gradient measurements when performed, and flush aortogram when performed; unilateral"
36252,1497708473,,"Selective catheter placement (first-order), main renal artery and any accessory renal artery(s) for renal angiography, including arterial puncture and catheter placement(s), fluoroscopy, contrast injection(s), image postprocessing, permanent recording of images, and radiological supervision and interpretation, including pressure gradient measurements when performed, and flush aortogram when performed; bilateral"
36415,1497708473,,Collection of venous blood by venipuncture
36430,1497708473,,"Transfusion, blood or blood components"
36556,1497708473,,Insertion of non-tunneled centrally inserted central venous catheter; age 5 years or older
36600,1497708473,,"Arterial puncture, withdrawal of blood for diagnosis"
36620,1497708473,,"Arterial catheterization or cannulation for sampling, monitoring or transfusion (separate procedure); percutaneous"
37184,1497708473,,"Primary percutaneous transluminal mechanical thrombectomy, noncoronary, non-intracranial, arterial or arterial bypass graft, including fluoroscopic guidance and intraprocedural pharmacological thrombolytic injection(s); initial vessel"
37191,1497708473,,"Insertion of intravascular vena cava filter, endovascular approach including vascular access, vessel selection, and radiological supervision and interpretation, intraprocedural roadmapping, and imaging guidance (ultrasound and fluoroscopy), when performed"
37192,1497708473,,"Repositioning of intravascular vena cava filter, endovascular approach including vascular access, vessel selection, and radiological supervision and interpretation, intraprocedural roadmapping, and imaging guidance (ultrasound and fluoroscopy), when performed"
37193,1497708473,,"Retrieval (removal) of intravascular vena cava filter, endovascular approach including vascular access, vessel selection, and radiological supervision and interpretation, intraprocedural roadmapping, and imaging guidance (ultrasound and fluoroscopy), when performed"
37220,1497708473,,"Revascularization, endovascular, open or percutaneous, iliac artery, unilateral, initial vessel; with transluminal angioplasty"
37221,1497708473,,"Revascularization, endovascular, open or percutaneous, iliac artery, unilateral, initial vessel; with transluminal stent placement(s), includes angioplasty within the same vessel, when performed"
37222,1497708473,,"Revascularization, endovascular, open or percutaneous, iliac artery, each additional ipsilateral iliac vessel; with transluminal angioplasty (List separately in addition to code for primary procedure)"
37223,1497708473,,"Revascularization, endovascular, open or percutaneous, iliac artery, each additional ipsilateral iliac vessel; with transluminal stent placement(s), includes angioplasty within the same vessel, when performed (List separately in addition to code for primary procedure)"
37224,1497708473,,"Revascularization, endovascular, open or percutaneous, femoral, popliteal artery(s), unilateral; with transluminal angioplasty"
37225,1497708473,,"Revascularization, endovascular, open or percutaneous, femoral, popliteal artery(s), unilateral; with atherectomy, includes angioplasty within the same vessel, when performed"
37226,1497708473,,"Revascularization, endovascular, open or percutaneous, femoral, popliteal artery(s), unilateral; with transluminal stent placement(s), includes angioplasty within the same vessel, when performed"
37227,1497708473,,"Revascularization, endovascular, open or percutaneous, femoral, popliteal artery(s), unilateral; with transluminal stent placement(s) and atherectomy, includes angioplasty within the same vessel, when performed"
37228,1497708473,,"Revascularization, endovascular, open or percutaneous, tibial, peroneal artery, unilateral, initial vessel; with transluminal angioplasty"
37229,1497708473,,"Revascularization, endovascular, open or percutaneous, tibial, peroneal artery, unilateral, initial vessel; with atherectomy, includes angioplasty within the same vessel, when performed"
37230,1497708473,,"Revascularization, endovascular, open or percutaneous, tibial, peroneal artery, unilateral, initial vessel; with transluminal stent placement(s), includes angioplasty within the same vessel, when performed"
37231,1497708473,,"Revascularization, endovascular, open or percutaneous, tibial, peroneal artery, unilateral, initial vessel; with transluminal stent placement(s) and atherectomy, includes angioplasty within the same vessel, when performed"
37232,1497708473,,"Revascularization, endovascular, open or percutaneous, tibial/peroneal artery, unilateral, each additional vessel; with transluminal angioplasty (List separately in addition to code for primary procedure)"
37233,1497708473,,"Revascularization, endovascular, open or percutaneous, tibial/peroneal artery, unilateral, each additional vessel; with atherectomy, includes angioplasty within the same vessel, when performed (List separately in addition to code for primary procedure)"
37236,1497708473,,"Transcatheter placement of an intravascular stent(s) (except lower extremity artery(s) for occlusive disease, cervical carotid, extracranial vertebral or intrathoracic carotid, intracranial, or coronary), open or percutaneous, including radiological supervision and interpretation and including all angioplasty within the same vessel, when performed; initial artery"
37237,1497708473,,"Transcatheter placement of an intravascular stent(s) (except lower extremity artery(s)  for occlusive disease, cervical carotid, extracranial vertebral or intrathoracic carotid, intracranial, or coronary), open or percutaneous, including radiological supervision and interpretation and including all angioplasty within the same vessel, when performed; each additional artery (List separately in addition to code for primary procedure)"
37246,1497708473,,"Transluminal balloon angioplasty (except lower extremity artery(ies) for occlusive disease, intracranial, coronary, pulmonary, or dialysis circuit), open or percutaneous, including all imaging and radiological supervision and interpretation necessary to perform the angioplasty within the same artery; initial artery"
37247,1497708473,,"Transluminal balloon angioplasty (except lower extremity artery(ies) for occlusive disease, intracranial, coronary, pulmonary, or dialysis circuit), open or percutaneous, including all imaging and radiological supervision and interpretation necessary to perform the angioplasty within the same artery; each additional artery (List separately in addition to code for primary procedure)"
38220,1497708473,,Diagnostic bone marrow; aspiration(s)
38221,1497708473,,Diagnostic bone marrow; biopsy(ies)
38505,1497708473,,"Biopsy or excision of lymph node(s); by needle, superficial (eg, cervical, inguinal, axillary)"
42550,1497708473,,Injection procedure for sialography
43260,1497708473,,"Endoscopic retrograde cholangiopancreatography (ERCP); diagnostic, including collection of specimen(s) by brushing or washing, when performed (separate procedure)"
43752,1497708473,,"Naso- or oro-gastric tube placement, requiring physician's skill and fluoroscopic guidance (includes fluoroscopy, image documentation and report)"
43753,1497708473,,"Gastric intubation and aspiration(s) therapeutic, necessitating physician's skill (eg, for gastrointestinal hemorrhage), including lavage if performed"
47000,1497708473,,"Biopsy of liver, needle; percutaneous"
47531,1497708473,,"Injection procedure for cholangiography, percutaneous, complete diagnostic procedure including imaging guidance (eg, ultrasound and/or fluoroscopy) and all associated radiological supervision and interpretation; existing access"
47532,1497708473,,"Injection procedure for cholangiography, percutaneous, complete diagnostic procedure including imaging guidance (eg, ultrasound and/or fluoroscopy) and all associated radiological supervision and interpretation; new access (eg, percutaneous transhepatic cholangiogram)"
47555,1497708473,,"Biliary endoscopy, percutaneous via T-tube or other tract; with dilation of biliary duct stricture(s) without stent"
47556,1497708473,,"Biliary endoscopy, percutaneous via T-tube or other tract; with dilation of biliary duct stricture(s) with stent"
48102,1497708473,,"Biopsy of pancreas, percutaneous needle"
49083,1497708473,,Abdominal paracentesis (diagnostic or therapeutic); with imaging guidance
49180,1497708473,,"Biopsy, abdominal or retroperitoneal mass, percutaneous needle"
49405,1497708473,,"Image-guided fluid collection drainage by catheter (eg, abscess, hematoma, seroma, lymphocele, cyst); visceral (eg, kidney, liver, spleen, lung/mediastinum), percutaneous"
49406,1497708473,,"Image-guided fluid collection drainage by catheter (eg, abscess, hematoma, seroma, lymphocele, cyst); peritoneal or retroperitoneal, percutaneous"
49465,1497708473,,"Contrast injection(s) for radiological evaluation of existing gastrostomy, duodenostomy, jejunostomy, gastro-jejunostomy, or cecostomy (or other colonic) tube, from a percutaneous approach including image documentation and report"
50200,1497708473,,"Renal biopsy; percutaneous, by trocar or needle"
50390,1497708473,,"Aspiration and/or injection of renal cyst or pelvis by needle, percutaneous"
50590,1497708473,,"Lithotripsy, extracorporeal shock wave"
51100,1497708473,,Aspiration of bladder; by needle
51600,1497708473,,Injection procedure for cystography or voiding urethrocystography
51610,1497708473,,Injection procedure for retrograde urethrocystography
51702,1497708473,,"Insertion of temporary indwelling bladder catheter; simple (eg, Foley)"
51798,1497708473,,"Measurement of post-voiding residual urine and/or bladder capacity by ultrasound, non-imaging"
55700,1497708473,,"Biopsy, prostate; needle or punch, single or multiple, any approach"
58340,1497708473,,Catheterization and introduction of saline or contrast material for saline infusion sonohysterography (SIS) or hysterosalpingography
58800,1497708473,,"Drainage of ovarian cyst(s), unilateral or bilateral (separate procedure); vaginal approach"
58805,1497708473,,"Drainage of ovarian cyst(s), unilateral or bilateral (separate procedure); abdominal approach"
58970,1497708473,,"Follicle puncture for oocyte retrieval, any method"
59000,1497708473,,Amniocentesis; diagnostic
59020,1497708473,,Fetal contraction stress test
59025,1497708473,,Fetal non-stress test
60100,1497708473,,"Biopsy thyroid, percutaneous core needle"
62273,1497708473,,"Injection, epidural, of blood or clot patch"
62284,1497708473,,"Injection procedure for myelography and/or computed tomography, lumbar"
62290,1497708473,,"Injection procedure for discography, each level; lumbar"
62291,1497708473,,"Injection procedure for discography, each level; cervical or thoracic"
62302,1497708473,,"Myelography via lumbar injection, including radiological supervision and interpretation; cervical"
62303,1497708473,,"Myelography via lumbar injection, including radiological supervision and interpretation; thoracic"
62304,1497708473,,"Myelography via lumbar injection, including radiological supervision and interpretation; lumbosacral"
62328,1497708473,,"Spinal puncture, lumbar, diagnostic; with fluoroscopic or CT guidance"
68850,1497708473,,Injection of contrast medium for dacryocystography
70030,1497708473,,"Radiologic examination, eye, for detection of foreign body"
70100,1497708473,,"Radiologic examination, mandible; partial, less than 4 views"
70110,1497708473,,"Radiologic examination, mandible; complete, minimum of 4 views"
70130,1497708473,,"Radiologic examination, mastoids; complete, minimum of 3 views per side"
70134,1497708473,,"Radiologic examination, internal auditory meati, complete"
70140,1497708473,,"Radiologic examination, facial bones; less than 3 views"
70150,1497708473,,"Radiologic examination, facial bones; complete, minimum of 3 views"
70160,1497708473,,"Radiologic examination, nasal bones, complete, minimum of 3 views"
70170,1497708473,,"Dacryocystography, nasolacrimal duct, radiological supervision and interpretation"
70190,1497708473,,Radiologic examination; optic foramina
70200,1497708473,,"Radiologic examination; orbits, complete, minimum of 4 views"
70210,1497708473,,"Radiologic examination, sinuses, paranasal, less than 3 views"
70220,1497708473,,"Radiologic examination, sinuses, paranasal, complete, minimum of 3 views"
70240,1497708473,,"Radiologic examination, sella turcica"
70250,1497708473,,"X-ray of skull, fewer than 4 views"
70260,1497708473,,"Radiologic examination, skull; complete, minimum of 4 views"
70328,1497708473,,"Radiologic examination, temporomandibular joint, open and closed mouth; unilateral"
70330,1497708473,,"Radiologic examination, temporomandibular joint, open and closed mouth; bilateral"
70332,1497708473,,"Temporomandibular joint arthrography, radiological supervision and interpretation"
70336,1497708473,,"Magnetic resonance (eg, proton) imaging, temporomandibular joint(s)"
70360,1497708473,,"Radiologic examination; neck, soft tissue"
70380,1497708473,,"Radiologic examination, salivary gland for calculus"
70390,1497708473,,"Sialography, radiological supervision and interpretation"
70450,1497708473,,"Computed tomography, head or brain; without contrast material"
70460,1497708473,,"Computed tomography, head or brain; with contrast material(s)"
70470,1497708473,,"Computed tomography, head or brain; without contrast material, followed by contrast material(s) and further sections"
70480,1497708473,,"Computed tomography, orbit, sella, or posterior fossa or outer, middle, or inner ear; without contrast material"
70481,1497708473,,"Computed tomography, orbit, sella, or posterior fossa or outer, middle, or inner ear; with contrast material(s)"
70482,1497708473,,"Computed tomography, orbit, sella, or posterior fossa or outer, middle, or inner ear; without contrast material, followed by contrast material(s) and further sections"
70486,1497708473,,"Computed tomography, maxillofacial area; without contrast material"
70487,1497708473,,"Computed tomography, maxillofacial area; with contrast material(s)"
70488,1497708473,,"Computed tomography, maxillofacial area; without contrast material, followed by contrast material(s) and further sections"
70490,1497708473,,"Computed tomography, soft tissue neck; without contrast material"
70491,1497708473,,"Computed tomography, soft tissue neck; with contrast material(s)"
70492,1497708473,,"Computed tomography, soft tissue neck; without contrast material followed by contrast material(s) and further sections"
70496,1497708473,,"Computed tomographic angiography, head, with contrast material(s), including noncontrast images, if performed, and image postprocessing"
70498,1497708473,,"Computed tomographic angiography, neck, with contrast material(s), including noncontrast images, if performed, and image postprocessing"
70540,1497708473,,"Magnetic resonance (eg, proton) imaging, orbit, face, and/or neck; without contrast material(s)"
70542,1497708473,,"Magnetic resonance (eg, proton) imaging, orbit, face, and/or neck; with contrast material(s)"
70543,1497708473,,"Magnetic resonance (eg, proton) imaging, orbit, face, and/or neck; without contrast material(s), followed by contrast material(s) and further sequences"
70544,1497708473,,"Magnetic resonance angiography, head; without contrast material(s)"
70545,1497708473,,"Magnetic resonance angiography, head; with contrast material(s)"
70546,1497708473,,"Magnetic resonance angiography, head; without contrast material(s), followed by contrast material(s) and further sequences"
70547,1497708473,,"Magnetic resonance angiography, neck; without contrast material(s)"
70548,1497708473,,"Magnetic resonance angiography, neck; with contrast material(s)"
70549,1497708473,,"Magnetic resonance angiography, neck; without contrast material(s), followed by contrast material(s) and further sequences"
70551,1497708473,,"Magnetic resonance (eg, proton) imaging, brain (including brain stem); without contrast material"
70552,1497708473,,"Magnetic resonance (eg, proton) imaging, brain (including brain stem); with contrast material(s)"
70553,1497708473,,"Magnetic resonance (eg, proton) imaging, brain (including brain stem); without contrast material, followed by contrast material(s) and further sequences"
71045,1497708473,,"Radiologic examination, chest; single view"
71046,1497708473,,"Radiologic examination, chest; 2 views"
71047,1497708473,,"Radiologic examination, chest; 3 views"
71048,1497708473,,"Radiologic examination, chest; 4 or more views"
71100,1497708473,,"Radiologic examination, ribs, unilateral; 2 views"
71101,1497708473,,"Radiologic examination, ribs, unilateral; including posteroanterior chest, minimum of 3 views"
71110,1497708473,,"Radiologic examination, ribs, bilateral; 3 views"
71111,1497708473,,"Radiologic examination, ribs, bilateral; including posteroanterior chest, minimum of 4 views"
71120,1497708473,,"Radiologic examination; sternum, minimum of 2 views"
71130,1497708473,,"Radiologic examination; sternoclavicular joint or joints, minimum of 3 views"
71250,1497708473,,"Computed tomography, thorax; without contrast material"
71260,1497708473,,"Computed tomography, thorax; with contrast material(s)"
71270,1497708473,,"Computed tomography, thorax; without contrast material, followed by contrast material(s) and further sections"
71275,1497708473,,"Computed tomographic angiography, chest (noncoronary), with contrast material(s), including noncontrast images, if performed, and image postprocessing"
71550,1497708473,,"Magnetic resonance (eg, proton) imaging, chest (eg, for evaluation of hilar and mediastinal lymphadenopathy); without contrast material(s)"
71551,1497708473,,"Magnetic resonance (eg, proton) imaging, chest (eg, for evaluation of hilar and mediastinal lymphadenopathy); with contrast material(s)"
71552,1497708473,,"Magnetic resonance (eg, proton) imaging, chest (eg, for evaluation of hilar and mediastinal lymphadenopathy); without contrast material(s), followed by contrast material(s) and further sequences"
71555,1497708473,,"Magnetic resonance angiography, chest (excluding myocardium), with or without contrast material(s)"
72020,1497708473,,"Radiologic examination, spine, single view, specify level"
72040,1497708473,,"Radiologic examination, spine, cervical; 2 or 3 views"
72050,1497708473,,"Radiologic examination, spine, cervical; 4 or 5 views"
72052,1497708473,,"Radiologic examination, spine, cervical; 6 or more views"
72070,1497708473,,"Radiologic examination, spine; thoracic, 2 views"
72072,1497708473,,"Radiologic examination, spine; thoracic, 3 views"
72080,1497708473,,"Radiologic examination, spine; thoracolumbar junction, minimum of 2 views"
72081,1497708473,,"Radiologic examination, spine, entire thoracic and lumbar, including skull, cervical and sacral spine if performed (eg, scoliosis evaluation); one view"
72082,1497708473,,"Radiologic examination, spine, entire thoracic and lumbar, including skull, cervical and sacral spine if performed (eg, scoliosis evaluation); 2 or 3 views"
72083,1497708473,,"Radiologic examination, spine, entire thoracic and lumbar, including skull, cervical and sacral spine if performed (eg, scoliosis evaluation); 4 or 5 views"
72084,1497708473,,"Radiologic examination, spine, entire thoracic and lumbar, including skull, cervical and sacral spine if performed (eg, scoliosis evaluation); minimum of 6 views"
72100,1497708473,,"Radiologic examination, spine, lumbosacral; 2 or 3 views"
72110,1497708473,,"Radiologic examination, spine, lumbosacral; minimum of 4 views"
72114,1497708473,,"Radiologic examination, spine, lumbosacral; complete, including bending views, minimum of 6 views"
72120,1497708473,,"Radiologic examination, spine, lumbosacral; bending views only, 2 or 3 views"
72125,1497708473,,"Computed tomography, cervical spine; without contrast material"
72126,1497708473,,"Computed tomography, cervical spine; with contrast material"
72127,1497708473,,"Computed tomography, cervical spine; without contrast material, followed by contrast material(s) and further sections"
72128,1497708473,,"Computed tomography, thoracic spine; without contrast material"
72129,1497708473,,"Computed tomography, thoracic spine; with contrast material"
72130,1497708473,,"Computed tomography, thoracic spine; without contrast material, followed by contrast material(s) and further sections"
72131,1497708473,,"Computed tomography, lumbar spine; without contrast material"
72132,1497708473,,"Computed tomography, lumbar spine; with contrast material"
72133,1497708473,,"Computed tomography, lumbar spine; without contrast material, followed by contrast material(s) and further sections"
72141,1497708473,,"Magnetic resonance (eg, proton) imaging, spinal canal and contents, cervical; without contrast material"
